Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Auto/Transportation,Gasoline,6/18/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   06/16 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000835728629 CARD 5402,Debit Card/ATM Card ...5402,$59.63
Auto/Transportation,Maintenance/Repair,6/18/18, ,MICHAEL J'S BODY S,PURCHASE                                AUTHORIZED ON   06/15 MICHAEL J'S BODY S        408-2793222   CA  S388166585420835   CARD 1745,Debit Card/ATM Card ...1745,"$1,751.85"
Auto/Transportation,Maintenance/Repair,6/18/18, ,MICHAEL J'S BODY S,PURCHASE                                AUTHORIZED ON   06/15 MICHAEL J'S BODY S        408-2793222   CA  S308166569639997   CARD 5402,Debit Card/ATM Card ...5402,"$1,681.97"
Auto/Transportation,Maintenance/Repair,6/18/18, ,MICHAEL J'S BODY S,PURCHASE                                AUTHORIZED ON   06/15 MICHAEL J'S BODY S        408-2793222   CA  S468166583935115   CARD 5402,Debit Card/ATM Card ...5402,"$3,000.00"
Auto/Transportation,Parking/Tolls,6/22/18, ,ABM PARKING SAN JO,PURCHASE                                AUTHORIZED ON   06/20 ABM PARKING SAN JO        SAN JOSE      CA  S588172150678465   CARD 5402,Debit Card/ATM Card ...5402,$2.00
Auto/Transportation,Gasoline,6/25/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   06/23 CHEVRON 0203722           LOS GATOS     CA  S468174628296968   CARD 5402,Debit Card/ATM Card ...5402,$62.11
Auto/Transportation,Gasoline,6/25/18, ,CHEVRON LOS GATOS GAS C,PURCHASE WITH CASH BACK        $   2.00 AUTHORIZED ON   06/24 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00468176056400850 CARD 5402,Debit Card/ATM Card ...5402,$4.17
Auto/Transportation,Gasoline,6/25/18, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   06/24 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00308176038552880 CARD 5402,Debit Card/ATM Card ...5402,$9.00
Auto/Transportation,Gasoline,7/2/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   06/30 CHEVRON 0203722           LOS GATOS     CA  S308181657680174   CARD 5402,Debit Card/ATM Card ...5402,$33.46
Auto/Transportation,Gasoline,7/5/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   07/05 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000031840437 CARD 5402,Debit Card/ATM Card ...5402,$52.54
Auto/Transportation,Gasoline,7/13/18, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   07/13 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00468194723252331 CARD 5402,Debit Card/ATM Card ...5402,$13.17
Auto/Transportation,Other Auto/Transportation,7/13/18, ,LAKE DEL VALLE MAR,PURCHASE                                AUTHORIZED ON   07/12 LAKE DEL VALLE MAR        LIVERMORE     CA  S308193727438331   CARD 5402,Debit Card/ATM Card ...5402,$5.00
Auto/Transportation,Gasoline,7/16/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   07/15 CHEVRON 0203722           LOS GATOS     CA  S588196774662392   CARD 5402,Debit Card/ATM Card ...5402,$55.60
Auto/Transportation,Gasoline,7/23/18, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   07/23 LOS GATOS                 LOS GATOS     CA  P00000000530137996 CARD 5402,Debit Card/ATM Card ...5402,$55.36
Auto/Transportation,Gasoline,7/30/18, ,SHELL,PURCHASE                                AUTHORIZED ON   07/28 SHELL Service Station     FAIRFIELD     CA  P00308209539935175 CARD 5402,Debit Card/ATM Card ...5402,$55.39
Auto/Transportation,Other Auto/Transportation,7/30/18, ,MARKLEY COVE RESOR,PURCHASE                                AUTHORIZED ON   07/28 MARKLEY COVE RESOR        WINTERS       CA  S388209694774460   CARD 5402,Debit Card/ATM Card ...5402,$20.79
Auto/Transportation,Parking/Tolls,7/30/18, ,ABM PARKING SAN JO,PURCHASE                                AUTHORIZED ON   07/27 ABM PARKING SAN JO        SAN JOSE      CA  S308208604716412   CARD 5402,Debit Card/ATM Card ...5402,$4.00
Auto/Transportation,Gasoline,8/1/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   07/31 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000634539377 CARD 5402,Debit Card/ATM Card ...5402,$56.10
Auto/Transportation,Gasoline,8/10/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   08/09 CHEVRON 0206855           MENLO PARK    CA  S468222110900267   CARD 5402,Debit Card/ATM Card ...5402,$64.05
Auto/Transportation,Maintenance/Repair,8/13/18, ,A&M MOTOR SUPPLY I,PURCHASE                                AUTHORIZED ON   08/11 A&M MOTOR SUPPLY I        LOS GATOS     CA  S388223634128582   CARD 5402,Debit Card/ATM Card ...5402,$16.30
Auto/Transportation,Maintenance/Repair,8/13/18, ,EXPRESS CAR WASH,PURCHASE                                AUTHORIZED ON   08/09 EXPRESS CAR WASH -        REDWOOD CITY  CA  S468222058810319   CARD 5402,Debit Card/ATM Card ...5402,$6.00
Auto/Transportation,Gasoline,8/20/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   08/19 CHEVRON 0203722           LOS GATOS     CA  S308231582355539   CARD 5402,Debit Card/ATM Card ...5402,$55.72
Auto/Transportation,Gasoline,8/27/18, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   08/27 LOS GATOS                 LOS GATOS     CA  P00000000176963562 CARD 5402,Debit Card/ATM Card ...5402,$54.29
Auto/Transportation,Gasoline,9/4/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   09/02 CHEVRON 0203722           LOS GATOS     CA  S388245810615418   CARD 5402,Debit Card/ATM Card ...5402,$69.50
Auto/Transportation,Gasoline,9/7/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   09/06 CHEVRON 0097781           SAN MATEO     CA  S388249713676683   CARD 1745,Debit Card/ATM Card ...1745,$50.91
Auto/Transportation,Gasoline,9/10/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   09/08 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000773167989 CARD 5402,Debit Card/ATM Card ...5402,$53.81
Auto/Transportation,Gasoline,9/17/18, ,GILL FUELS,PURCHASE                                AUTHORIZED ON   09/15 GILL FUELS SAN RAMON      SAN RAMON     CA  P00468259082534722 CARD 5402,Debit Card/ATM Card ...5402,$61.20
Auto/Transportation,Gasoline,9/17/18, ,GILL FUELS,PURCHASE                                AUTHORIZED ON   09/15 GILL FUELS SAN RAMON      SAN RAMON     CA  P00388259085942055 CARD 5402,Debit Card/ATM Card ...5402,$5.37
Auto/Transportation,Gasoline,9/24/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   09/22 CHEVRON 0206855           MENLO PARK    CA  S388266030667640   CARD 5402,Debit Card/ATM Card ...5402,$62.50
Auto/Transportation,Gasoline,10/1/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   09/30 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000277615663 CARD 5402,Debit Card/ATM Card ...5402,$58.11
Auto/Transportation,Gasoline,10/5/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   10/05 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000674025105 CARD 5402,Debit Card/ATM Card ...5402,$35.07
Auto/Transportation,Gasoline,10/8/18,"LOS GATOS    ,CA",CHEVRON,"CHEVRON 0203722 LOS GATOS    ,CA",PLATINUM CARD ...4360,$2.39
Auto/Transportation,Gasoline,10/9/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   10/08 ROTTEN ROBBIE #           CAMPBELL      CA  P00000000133312104 CARD 5402,Debit Card/ATM Card ...5402,$62.15
Auto/Transportation,Gasoline,10/10/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   10/09 CHEVRON 0203722           LOS GATOS     CA  S588282862091495   CARD 1745,Debit Card/ATM Card ...1745,$58.11
Auto/Transportation,Gasoline,10/17/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   10/16 CHEVRON 0203722           LOS GATOS     CA  S308290111609054   CARD 5402,Debit Card/ATM Card ...5402,$63.84
Auto/Transportation,Gasoline,10/24/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   10/23 CHEVRON 0203722           LOS GATOS     CA  S308297072805510   CARD 5402,Debit Card/ATM Card ...5402,$63.36
Auto/Transportation,Maintenance/Repair,10/27/18,"LOS GATOS    ,CA",O'REILLY AUTOMOTIVE,"OREILLY AUTO #2572 LOS GATOS    ,CA",PLATINUM CARD ...4360,$15.24
Auto/Transportation,Maintenance/Repair,10/29/18, ,O'REILLY AUTOMOTIVE,PURCHASE                                AUTHORIZED ON   10/27 OREILLY AUTO #2           LOS GATOS     CA  P00000000974224691 CARD 5402,Debit Card/ATM Card ...5402,$19.04
Auto/Transportation,Gasoline,10/31/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   10/30 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000837840456 CARD 5402,Debit Card/ATM Card ...5402,$55.78
Auto/Transportation,Gasoline,11/5/18, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   11/03 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00588308058637037 CARD 5402,Debit Card/ATM Card ...5402,$11.00
Auto/Transportation,Gasoline,11/8/18, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   11/08 LOS GATOS                 LOS GATOS     CA  P00000000931124343 CARD 5402,Debit Card/ATM Card ...5402,$61.16
Auto/Transportation,Gasoline,11/19/18, ,DOUBLETIME,PURCHASE                                AUTHORIZED ON   11/18 DOUBLETIME                BELMONT       CA  P00000000679201773 CARD 5402,Debit Card/ATM Card ...5402,$57.47
Auto/Transportation,Gasoline,11/29/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   11/28 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000071751617 CARD 5402,Debit Card/ATM Card ...5402,$59.19
Auto/Transportation,Gasoline,12/3/18, ,CIRCLE K,PURCHASE                                AUTHORIZED ON   12/02 CIRCLE K STORES           LOMPOC        CA  P00000000489445621 CARD 5402,Debit Card/ATM Card ...5402,$40.25
Auto/Transportation,Gasoline,12/4/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   12/03 CHEVRON 0206855           MENLO PARK    CA  S588338118913462   CARD 5402,Debit Card/ATM Card ...5402,$60.35
Auto/Transportation,Gasoline,12/8/18,"MOUNTAIN VIEW,CA",SHELL OIL,"SHELL OIL 57444213904 MOUNTAIN VIEW,CA",PLATINUM CARD ...4360,$6.20
Auto/Transportation,Gasoline,12/10/18, ,SHELL,PURCHASE                                AUTHORIZED ON   12/08 SHELL Service Station     MOUNTAIN VIEW CA  P00388342755417798 CARD 5402,Debit Card/ATM Card ...5402,$54.49
Auto/Transportation,Gasoline,12/14/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   12/13 CHEVRON 0203722           LOS GATOS     CA  S468348142933310   CARD 5402,Debit Card/ATM Card ...5402,$57.00
Auto/Transportation,Gasoline,12/21/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   12/20 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000187701651 CARD 5402,Debit Card/ATM Card ...5402,$53.91
Auto/Transportation,Gasoline,12/27/18, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   12/27 LOS GATOS                 LOS GATOS     CA  P00000000489845065 CARD 5402,Debit Card/ATM Card ...5402,$45.37
Auto/Transportation,Gasoline,12/28/18,"LOS GATOS    ,CA",ROTTEN ROBBIE,"ROTTEN ROBBIE #01 LOS GATOS    ,CA",PLATINUM CARD ...4360,$42.81
Auto/Transportation,Gasoline,1/4/19, ,CHEVRON BRUMUND & MORRI ARNOLD,PURCHASE                                AUTHORIZED ON   01/04 CHEVRON/BRUMUND & MORRI   ARNOLD        CA  P00389004693535223 CARD 5402,Debit Card/ATM Card ...5402,$50.32
Auto/Transportation,Gasoline,1/10/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   01/09 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000330100063 CARD 5402,Debit Card/ATM Card ...5402,$49.66
Auto/Transportation,Gasoline,1/17/19, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   01/17 LOS GATOS                 LOS GATOS     CA  P00000000279661719 CARD 5402,Debit Card/ATM Card ...5402,$54.13
Auto/Transportation,Gasoline,1/26/19,"MOUNTAIN VIEW,CA",SHELL OIL,"SHELL OIL 57444213904 MOUNTAIN VIEW,CA",PLATINUM CARD ...4360,$22.67
Auto/Transportation,Gasoline,1/28/19, ,CHEVRON,PURCHASE                                AUTHORIZED ON   01/25 CHEVRON 0206855           MENLO PARK    CA  S589026113698099   CARD 5402,Debit Card/ATM Card ...5402,$57.92
Auto/Transportation,Gasoline,2/4/19, ,CHEVRON,PURCHASE                                AUTHORIZED ON   02/02 CHEVRON 0203722           LOS GATOS     CA  S469033853558708   CARD 5402,Debit Card/ATM Card ...5402,$45.02
Auto/Transportation,Gasoline,2/11/19, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   02/08 LOS GATOS                 LOS GATOS     CA  P00000000771210435 CARD 5402,Debit Card/ATM Card ...5402,$47.12
Auto/Transportation,Gasoline,2/11/19, ,SILICON VALLEY VAL,PURCHASE                                AUTHORIZED ON   02/09 SILICON VALLEY VAL        MOUNTAIN VIEW CA  S389041003823578   CARD 5402,Debit Card/ATM Card ...5402,$41.19
Auto/Transportation,Gasoline,2/19/19, ,CHEVRON,PURCHASE                                AUTHORIZED ON   02/16 CHEVRON 0203722           LOS GATOS     CA  S309047724465159   CARD 5402,Debit Card/ATM Card ...5402,$46.21
Auto/Transportation,Gasoline,2/20/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   02/19 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000075304341 CARD 5402,Debit Card/ATM Card ...5402,$46.36
Auto/Transportation,Gasoline,2/25/19, ,SHELL,PURCHASE                                AUTHORIZED ON   02/22 SHELL Service Station     MANTECA       CA  P00589054090938503 CARD 5402,Debit Card/ATM Card ...5402,$53.51
Auto/Transportation,Gasoline,2/28/19, ,CHEVRON,PURCHASE                                AUTHORIZED ON   02/27 CHEVRON 0203722           LOS GATOS     CA  S469058585796551   CARD 5402,Debit Card/ATM Card ...5402,$50.76
Auto/Transportation,Gasoline,3/5/19, ,TESORO,PURCHASE                                AUTHORIZED ON   03/04 TESORO # 63060            SAN JOSE      CA  P00000000086757113 CARD 1745,Debit Card/ATM Card ...1745,$39.57
Auto/Transportation,Gasoline,3/7/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   03/06 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000272996883 CARD 5402,Debit Card/ATM Card ...5402,$51.28
Auto/Transportation,Maintenance/Repair,3/11/19, ,O'REILLY AUTOMOTIVE,PURCHASE                                AUTHORIZED ON   03/09 OREILLY AUTO #2572        LOS GATOS     CA  P00469069123907184 CARD 5402,Debit Card/ATM Card ...5402,$5.44
Auto/Transportation,Other Auto/Transportation,3/11/19, ,AAA MEMBERSHIP,PURCHASE                                AUTHORIZED ON   03/10 AAA*MEMBERSHIP            800-922-8228  CA  S589069712784718   CARD 5402,Debit Card/ATM Card ...5402,$90.00
Auto/Transportation,Parking/Tolls,3/11/19, ,CSJ CONVNTION CTR,PURCHASE                                AUTHORIZED ON   03/10 CSJ CONVNTION CTR         8005248185    CA  S469070021868354   CARD 5402,Debit Card/ATM Card ...5402,$5.00
Auto/Transportation,Gasoline,3/15/19, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   03/15 LOS GATOS                 LOS GATOS     CA  P00000000981375631 CARD 5402,Debit Card/ATM Card ...5402,$49.77
Auto/Transportation,Gasoline,3/22/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   03/21 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000632183841 CARD 5402,Debit Card/ATM Card ...5402,$53.69
Auto/Transportation,Gasoline,3/25/19, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   03/24 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00389083820357690 CARD 5402,Debit Card/ATM Card ...5402,$11.00
Auto/Transportation,Gasoline,4/1/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   03/31 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000781954033 CARD 5402,Debit Card/ATM Card ...5402,$57.39
Auto/Transportation,Gasoline,4/8/19, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   04/06 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00469096563337318 CARD 5402,Debit Card/ATM Card ...5402,$49.41
Auto/Transportation,Gasoline,4/9/19,"MENLO PARK   ,CA",CHEVRON,"CHEVRON 0206855 MENLO PARK   ,CA",PLATINUM CARD ...4360,$50.01
Auto/Transportation,Gasoline,4/13/19,"LOS GATOS    ,CA",EXXON MOBIL,"EXXONMOBIL    99459240 LOS GATOS    ,CA",PLATINUM CARD ...4360,$60.04
Auto/Transportation,Gasoline,4/22/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   04/19 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000371419435 CARD 5402,Debit Card/ATM Card ...5402,$62.21
Auto/Transportation,Gasoline,4/29/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   04/28 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000580528460 CARD 5402,Debit Card/ATM Card ...5402,$64.79
Auto/Transportation,Gasoline,5/6/19, ,CHEVRON LOS GATOS GAS C,PURCHASE WITH CASH BACK        $   3.00 AUTHORIZED ON   05/05 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00309126040313051 CARD 5402,Debit Card/ATM Card ...5402,$14.00
Auto/Transportation,Gasoline,5/7/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   05/06 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000574597422 CARD 5402,Debit Card/ATM Card ...5402,$64.73
Auto/Transportation,Gasoline,5/16/19, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   05/16 LOS GATOS                 LOS GATOS     CA  P00000000772949536 CARD 5402,Debit Card/ATM Card ...5402,$69.24
Auto/Transportation,Gasoline,5/21/19, ,TESORO,PURCHASE                                AUTHORIZED ON   05/20 TESORO # 63060            SAN JOSE      CA  P00000000689137228 CARD 1745,Debit Card/ATM Card ...1745,$29.62
Auto/Transportation,Gasoline,5/21/19, ,TESORO,PURCHASE                                AUTHORIZED ON   05/20 TESORO # 63060            SAN JOSE      CA  P00000000281593649 CARD 1745,Debit Card/ATM Card ...1745,$23.84
Auto/Transportation,Gasoline,5/23/19, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   05/23 LOS GATOS                 LOS GATOS     CA  P00000000987017859 CARD 5402,Debit Card/ATM Card ...5402,$68.21
Auto/Transportation,Gasoline,5/28/19, ,ARC O,PURCHASE                                AUTHORIZED ON   05/27 ARCO#83817JRS P           FAIRFIELD     CA  P00000000176744381 CARD 5402,Debit Card/ATM Card ...5402,$56.53
Auto/Transportation,Gasoline,6/3/19, ,STORE,PURCHASE                                AUTHORIZED ON   06/01 STORE # 232 ON            SAN FRANCISCO CA  P00000000486741398 CARD 5402,Debit Card/ATM Card ...5402,$55.66
Auto/Transportation,Parking/Tolls,6/3/19, ,LAZ PARKIN G,PURCHASE                                AUTHORIZED ON   06/01 LAZ PARKING 680617        SAN FRANCISCO CA  S389153010389617   CARD 5402,Debit Card/ATM Card ...5402,$10.00
Auto/Transportation,Gasoline,6/7/19, ,CHEVRON VAN DEVELOPMENT,PURCHASE                                AUTHORIZED ON   06/06 CHEVRON/VAN DEVELOPMENT   MENLO PARK    CA  P00589158085488698 CARD 5402,Debit Card/ATM Card ...5402,$68.22
Auto/Transportation,Parking/Tolls,6/7/19, ,IMPARK00270103A,PURCHASE                                AUTHORIZED ON   06/06 IMPARK00270103A           SAN FRANCISCO CA  S589157840720527   CARD 5402,Debit Card/ATM Card ...5402,$8.00
Auto/Transportation,Gasoline,6/11/19, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   06/11 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00309162840243097 CARD 1745,Debit Card/ATM Card ...1745,$62.00
Auto/Transportation,Gasoline,6/11/19, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   06/11 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00469162841459066 CARD 1745,Debit Card/ATM Card ...1745,$3.58
Auto/Transportation,Gasoline,6/13/19, ,76 SAN PASO TRUCK,PURCHASE                                AUTHORIZED ON   06/12 76 SAN PASO TRUCK         PASO ROBLES   CA  S389163412876610   CARD 5402,Debit Card/ATM Card ...5402,$51.27
Auto/Transportation,Gasoline,6/14/19, ,CHEVRON VAN DEVELOPMENT,PURCHASE                                AUTHORIZED ON   06/13 CHEVRON/VAN DEVELOPMENT   MENLO PARK    CA  P00309165104884089 CARD 5402,Debit Card/ATM Card ...5402,$63.50
Auto/Transportation,Parking/Tolls,6/17/19,"SAN JOSE     ,CA",SAN JOSE INTL AIRP,"SAN JOSE INTL AIRP SAN JOSE     ,CA",PLATINUM CARD ...4360,$2.00
Auto/Transportation,Gasoline,6/19/19, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   06/19 LOS GATOS                 LOS GATOS     CA  P00000000971760891 CARD 5402,Debit Card/ATM Card ...5402,$60.91
Auto/Transportation,Gasoline,6/26/19, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   06/26 LOS GATOS                 LOS GATOS     CA  P00000000982357355 CARD 5402,Debit Card/ATM Card ...5402,$62.96
Auto/Transportation,Gasoline,7/1/19, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   06/29 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00589180750361148 CARD 5402,Debit Card/ATM Card ...5402,$44.83
Auto/Transportation,Maintenance/Repair,7/1/19, ,O'REILLY AUTOMOTIVE,PURCHASE                                AUTHORIZED ON   06/29 OREILLY AUTO #2572        LOS GATOS     CA  P00309180722612222 CARD 5402,Debit Card/ATM Card ...5402,$9.26
Auto/Transportation,Gasoline,7/3/19, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   07/03 LOS GATOS                 LOS GATOS     CA  P00000000876072558 CARD 5402,Debit Card/ATM Card ...5402,$60.87
Auto/Transportation,Gasoline,7/8/19, ,CHEVRON LOS GATOS GAS C,PURCHASE WITH CASH BACK        $   3.00 AUTHORIZED ON   07/06 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00469187861627835 CARD 5402,Debit Card/ATM Card ...5402,$14.00
Auto/Transportation,Gasoline,7/8/19, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   07/08 LOS GATOS                 LOS GATOS     CA  P00000000273640535 CARD 5402,Debit Card/ATM Card ...5402,$62.86
Auto/Transportation,Gasoline,7/15/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   07/15 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000377897996 CARD 5402,Debit Card/ATM Card ...5402,$37.54
Auto/Transportation,Maintenance/Repair,7/15/19, ,O'REILLY AUTOMOTIVE,PURCHASE                                AUTHORIZED ON   07/15 OREILLY AUTO #2572        LOS GATOS     CA  P00589196700578830 CARD 5402,Debit Card/ATM Card ...5402,$21.80
Auto/Transportation,Gasoline,7/19/19, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   07/19 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000086334197 CARD 5402,Debit Card/ATM Card ...5402,$57.39
Auto/Transportation,Maintenance/Repair,7/19/19, ,SPEEDEE OIL CHANGE &TIRE,PURCHASE                                AUTHORIZED ON   07/19 SPEEDEE OIL CHANGE &TIRE  LOS GATOS     CA  P00309200697949369 CARD 5402,Debit Card/ATM Card ...5402,$83.64
Auto/Transportation,Maintenance/Repair,7/22/19, ,WHEEL WORKS,PURCHASE                                AUTHORIZED ON   07/19 WHEEL WORKS 119628        LOS GATOS     CA  S389201062305311   CARD 5402,Debit Card/ATM Card ...5402,$20.00
Auto/Transportation,Parking/Tolls,7/25/19, ,CSJ SMART METERS,PURCHASE                                AUTHORIZED ON   07/24 CSJ SMART METERS          4087941090    CA  S389205702593721   CARD 1745,Debit Card/ATM Card ...1745,$2.00
Auto/Transportation,Gasoline,7/29/19, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   07/28 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00469209635542561 CARD 5402,Debit Card/ATM Card ...5402,$60.51
